THU_U2

 ======== test get_l2 ========= 

2026-02-10 16:48:11,157; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-12-15 00:00:00 2021-12-19 00:00:00 usr with RIME, flagged 577/275025
2026-02-10 16:48:11,161; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-12-30 00:00:00 2022-01-01 00:00:00 dlr with RIME, flagged 289/275025
2026-02-10 16:48:11,166; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-12-30 00:00:00 2022-01-01 00:00:00 ulr with RIME, flagged 289/275025
2026-02-10 16:48:11,170; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-12-30 00:00:00 2022-01-01 00:00:00 dsr with RIME, flagged 289/275025
2026-02-10 16:48:11,174; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-12-30 00:00:00 2022-01-01 00:00:00 usr with RIME, flagged 289/275025
2026-02-10 16:48:11,179; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-08 00:00:00 2022-01-10 00:00:00 dlr with RIME, flagged 289/275025
2026-02-10 16:48:11,183; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-08 00:00:00 2022-01-10 00:00:00 ulr with RIME, flagged 289/275025
2026-02-10 16:48:11,187; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-08 00:00:00 2022-01-10 00:00:00 dsr with RIME, flagged 289/275025
2026-02-10 16:48:11,191; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-08 00:00:00 2022-01-10 00:00:00 usr with RIME, flagged 289/275025
2026-02-10 16:48:11,196; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-29 00:00:00 2022-10-10 00:00:00 dlr with RIME, flagged 1585/275025
2026-02-10 16:48:11,200; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-29 00:00:00 2022-10-10 00:00:00 ulr with RIME, flagged 1585/275025
2026-02-10 16:48:11,205; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-29 00:00:00 2022-10-10 00:00:00 dsr with RIME, flagged 1585/275025
